,a,b,c
34460,861,289,5
34461,805,190,5
34462,148,663,5
34463,627,97,2
34464,496,746,3
34465,595,358,2
34466,406,219,3
34467,173,324,5
34468,46,50,4
34469,429,218,3
34470,323,619,3
34471,620,243,3
34472,883,11,2
34473,16,1,5
34474,913,789,4
34475,889,763,4
34476,537,673,3
34477,311,218,4
34478,417,77,3
34479,403,1047,2
34480,758,865,4
34481,101,546,4
34482,410,313,5
34483,707,1061,3
34484,486,100,5
34485,659,1138,4
34486,435,742,4
34487,704,662,3
34488,737,58,4
34489,916,97,4
34490,442,150,4
34491,405,2,1
34492,460,149,4
34493,738,69,5
34494,248,89,5
34495,640,169,5
34496,504,451,1
34497,751,428,4
34498,489,261,2
34499,128,873,1
34500,524,385,3
34501,186,258,1
34502,591,48,4
34503,833,1597,5
34504,354,1137,4
34505,854,664,4
34506,592,268,5
34507,651,327,4
34508,647,631,4
34509,716,636,2
34510,145,1290,1
34511,653,429,3
34512,528,484,3
34513,328,96,4
34514,717,405,3
34515,519,324,1
34516,261,596,2
34517,44,100,5
34518,120,258,5
34519,618,1,4
34520,450,399,4
34521,837,289,5
34522,919,953,3
34523,399,506,3
34524,601,673,1
34525,524,895,4
34526,887,969,5
34527,417,27,3
34528,716,25,4
34529,538,568,3
34530,302,271,4
34531,943,816,4
34532,522,133,3
34533,548,443,4
34534,253,427,5
34535,936,1129,5
34536,608,134,3
34537,592,763,5
34538,419,617,4
34539,223,535,3
34540,557,307,5
34541,299,207,3
34542,931,181,4
34543,232,250,4
34544,234,552,2
34545,716,660,4
34546,792,124,4
34547,497,202,4
34548,522,173,4
34549,116,532,2
34550,896,284,4
34551,63,15,3
34552,854,270,4
34553,637,246,2
34554,379,234,5
34555,497,763,3
34556,109,317,2
34557,328,572,3
34558,916,421,5
34559,405,554,1
34560,536,52,3
34561,902,144,5
34562,134,302,2
34563,427,304,4
34564,618,709,2
34565,503,69,4
34566,565,1018,5
34567,747,1003,1
34568,731,494,3
34569,90,26,4
34570,588,301,5
34571,551,187,5
34572,934,257,4
34573,521,380,3
34574,878,216,4
34575,777,202,5
34576,445,844,2
34577,742,546,1
34578,707,313,2
34579,378,273,4
34580,749,254,2
34581,659,234,4
34582,643,129,5
34583,401,302,3
34584,655,974,2
34585,592,71,4
34586,539,1211,3
34587,848,209,5
34588,661,318,5
34589,804,1076,3
34590,320,410,4
34591,564,181,4
34592,15,255,5
34593,398,237,3
34594,716,88,4
34595,437,521,4
34596,114,646,4
34597,5,186,5
34598,506,44,4
34599,469,152,4
34600,933,1183,3
34601,455,405,3
34602,405,624,4
34603,577,215,5
34604,669,195,2
34605,210,1028,3
34606,930,244,4
34607,655,316,4
34608,14,428,4
34609,715,97,3
34610,405,1569,1
34611,708,280,4
34612,166,347,5
34613,459,815,4
34614,867,186,5
34615,316,172,1
34616,634,147,2
34617,543,702,2
34618,768,284,1
34619,620,418,3
34620,90,1205,3
34621,412,172,5
34622,749,322,4
34623,198,200,4
34624,627,1478,3
34625,537,1010,2
34626,666,662,3
34627,276,1118,4
34628,207,298,3
34629,299,855,4
34630,555,129,4
34631,622,1231,2
34632,900,474,4
34633,472,257,4
34634,848,405,5
34635,292,20,2
34636,727,410,2
34637,59,483,5
34638,901,405,4
34639,764,252,3
34640,391,480,4
34641,577,568,3
34642,47,258,4
34643,361,527,4
34644,801,890,2
34645,70,161,3
34646,642,318,2
34647,861,170,5
34648,897,472,5
34649,718,717,4
34650,349,118,2
34651,915,750,4
34652,614,546,1
34653,10,692,4
34654,389,65,4
34655,936,273,3
34656,141,330,1
34657,938,1061,4
34658,533,568,5
34659,715,685,3
34660,699,288,3
34661,697,1012,1
34662,865,24,4
34663,542,693,4
34664,685,269,3
34665,374,1206,2
34666,429,79,4
34667,694,485,4
34668,399,651,3
34669,537,302,4
34670,757,561,2
34671,650,176,4
34672,650,631,3
34673,334,500,3
34674,500,996,1
34675,871,183,3
34676,486,147,2
34677,894,236,4
34678,269,631,4
34679,788,729,4
34680,769,473,3
34681,864,79,5
34682,495,163,5
34683,167,1304,4
34684,843,650,3
34685,465,404,2
34686,232,425,4
34687,181,815,3
34688,234,219,2
34689,892,99,3
34690,812,682,4
34691,1,106,4
34692,642,2,4
34693,815,402,5
34694,222,1336,2
34695,499,213,3
34696,372,333,5
34697,524,322,4
34698,395,318,4
34699,943,97,2
34700,427,332,5
34701,533,252,4
34702,916,244,4
34703,881,1217,5
34704,892,180,5
34705,314,322,4
34706,478,50,3
34707,7,229,3
34708,708,118,5
34709,450,258,4
34710,512,265,4
34711,825,174,5
34712,378,1101,3
34713,412,56,5
34714,346,211,4
34715,897,193,3
34716,854,273,4
34717,554,276,3
34718,385,405,2
34719,498,54,2
34720,85,630,3
34721,544,749,4
34722,855,86,2
34723,235,1193,4
34724,659,443,5
34725,788,29,3
34726,592,886,3
34727,655,70,2
34728,721,22,5
34729,684,158,3
34730,647,298,3
34731,367,563,4
34732,864,1109,4
34733,29,79,4
34734,301,746,3
34735,603,22,4
34736,551,15,5
34737,218,56,3
34738,453,959,4
34739,882,227,4
34740,497,71,4
34741,868,82,2
34742,280,411,3
34743,483,180,2
34744,930,756,3
34745,303,385,4
34746,416,235,2
34747,87,405,4
34748,56,66,3
34749,940,96,5
34750,459,127,4
34751,42,125,4
34752,889,1079,2
34753,798,323,4
34754,612,15,4
34755,401,634,1
34756,851,981,1
34757,406,602,3
34758,853,678,4
34759,527,507,5
34760,551,44,4
34761,751,746,4
34762,496,136,1
34763,761,748,4
34764,666,1474,3
34765,618,1071,1
34766,544,326,3
34767,429,700,3
34768,85,170,4
34769,378,164,4
34770,380,506,3
34771,532,495,4
34772,592,178,5
34773,645,72,3
34774,276,685,4
34775,193,25,4
34776,601,132,5
34777,527,180,5
34778,89,88,4
34779,408,310,4
34780,435,68,4
34781,255,335,4
34782,239,1098,5
34783,479,95,4
34784,739,50,4
34785,407,250,4
34786,815,233,3
34787,174,739,5
34788,748,188,4
34789,655,1281,3
34790,727,826,2
34791,17,100,4
34792,787,904,3
34793,455,270,4
34794,847,568,4
34795,741,1029,1
34796,577,44,3
34797,886,214,3
34798,335,340,5
34799,497,382,4
34800,501,124,4
34801,697,271,4
34802,503,514,3
34803,434,7,1
34804,825,322,5
34805,715,410,4
34806,655,1173,2
34807,738,89,5
34808,455,11,3
34809,23,59,4
34810,543,1073,3
34811,429,768,3
34812,468,218,4
34813,16,427,5
34814,325,191,3
34815,87,944,5
34816,145,329,4
34817,2,242,5
34818,311,380,4
34819,477,20,4
34820,350,258,3
34821,758,143,5
34822,64,423,4
34823,373,163,4
34824,860,781,2
34825,932,811,4
34826,764,276,3
34827,417,713,2
34828,804,419,3
34829,806,252,1
34830,880,825,4
34831,398,692,4
34832,769,1312,2
34833,59,380,3
34834,790,721,3
34835,711,255,4
34836,444,306,5
34837,747,939,3
34838,488,96,3
34839,839,458,5
34840,838,134,3
34841,822,539,2
34842,605,137,5
34843,453,172,5
34844,786,210,4
34845,771,203,1
34846,476,67,4
34847,349,459,4
34848,222,619,4
34849,280,750,5
34850,499,482,2
34851,409,14,5
34852,690,393,4
34853,374,934,3
34854,750,873,3
34855,932,478,4
34856,201,172,5
34857,556,482,5
34858,918,153,1
34859,936,591,4
34860,62,1091,3
34861,376,198,5
34862,927,69,4
34863,399,540,2
34864,680,286,4
34865,537,443,3
34866,683,683,3
34867,645,960,4
34868,371,77,5
34869,758,587,4
34870,922,562,3
34871,447,288,4
34872,486,270,2
34873,659,648,3
34874,417,373,3
34875,200,99,5
34876,551,365,5
34877,864,218,4
34878,682,223,1
34879,43,479,4
34880,405,796,3
34881,278,538,4
34882,689,358,4
34883,465,1,4
34884,644,258,4
34885,848,679,3
34886,488,190,5
34887,361,176,4
34888,822,71,4
34889,474,497,5
34890,257,285,5
34891,497,944,3
34892,561,239,3
34893,524,501,2
34894,393,845,4
34895,727,222,3
34896,379,436,3
34897,125,168,5
34898,676,520,4
34899,328,662,3
34900,863,910,2
34901,527,153,5
34902,593,158,3
34903,354,109,3
34904,404,331,3
34905,595,952,5
34906,655,468,3
34907,542,209,4
34908,321,499,3
34909,263,496,5
34910,450,153,5
34911,747,661,5
34912,731,8,2
34913,346,38,3
34914,256,322,4
34915,664,127,5
34916,429,637,3
34917,422,339,2
34918,152,275,4
34919,435,177,5
34920,890,667,2
34921,429,1133,2
34922,122,513,4
34923,387,239,1
34924,447,228,4
34925,394,496,5
34926,214,209,5
34927,198,682,3
34928,327,338,1
34929,716,230,3
34930,615,28,4
34931,938,245,3
34932,479,151,4
34933,405,720,1
34934,389,187,5
34935,262,699,5
34936,541,274,4
34937,13,767,1
34938,195,740,3
34939,603,227,3
34940,234,770,4
34941,534,1059,4
34942,916,1268,3
34943,87,845,4
34944,497,508,3
34945,400,269,4
34946,602,988,4
34947,788,182,2
34948,125,748,3
34949,740,748,3
34950,846,518,4
34951,847,527,2
34952,692,866,4
34953,931,50,3
34954,833,235,4
34955,796,409,3
34956,655,286,3
34957,374,181,3
34958,835,421,4
34959,798,571,3
34960,639,747,3
34961,565,212,5
34962,588,91,5
34963,847,603,3
34964,293,433,3
34965,922,212,2
34966,385,1070,5
34967,593,584,3
34968,708,1040,2
34969,339,719,3
34970,122,197,5
34971,387,25,2
34972,378,43,3
34973,530,220,5
34974,839,106,2
34975,505,181,3
34976,536,450,2
34977,454,140,3
34978,327,150,4
34979,184,480,4
34980,592,301,1
34981,524,472,3
34982,387,197,2
34983,728,285,4
34984,804,134,4
34985,472,475,5
34986,843,252,3
34987,202,204,3
34988,536,740,4
34989,405,1577,1
34990,776,179,4
34991,648,456,2
34992,815,114,5
34993,504,1004,4
34994,377,98,5
34995,881,685,2
34996,197,311,4
34997,588,393,4
34998,585,584,3
34999,236,483,5
35000,130,272,5
35001,538,405,3
35002,222,154,3
35003,259,172,4
35004,478,288,5
35005,637,873,1
35006,942,750,4
35007,342,1103,3
35008,682,293,4
35009,487,50,4
35010,932,141,4
35011,625,405,3
35012,535,480,4
35013,627,172,3
35014,561,1101,3
35015,23,204,3
35016,761,181,5
35017,279,294,2
35018,763,515,4
35019,782,878,3
35020,577,25,4
35021,583,276,4
35022,235,170,4
35023,815,614,3
35024,18,588,4
35025,438,845,4
35026,311,241,3
35027,666,480,4
35028,885,28,4
35029,387,641,5
35030,500,62,3
35031,525,411,3
35032,616,300,4
35033,486,121,3
35034,13,327,3
35035,417,582,3
35036,624,346,3
35037,880,948,4
35038,366,675,4
35039,790,1,3
35040,59,9,4
35041,497,1092,3
35042,82,170,4
35043,301,76,4
35044,587,1483,4
35045,15,866,4
35046,287,9,5
35047,453,273,4
35048,1,176,5
35049,755,689,3
35050,167,615,5
35051,757,323,3
35052,705,300,5
35053,881,1046,3
35054,10,430,3
35055,764,673,4
35056,102,56,3
35057,374,829,2
35058,893,771,3
35059,305,282,3
35060,807,1,4
35061,570,358,2
35062,328,69,4
35063,201,473,3
35064,940,286,3
35065,738,528,4
35066,833,1016,1
35067,940,420,4
35068,210,153,5
35069,194,562,2
35070,577,471,3
35071,768,845,2
35072,641,497,5
35073,436,747,5
35074,92,149,3
35075,117,406,3
35076,903,1048,4
35077,521,651,3
35078,615,699,3
35079,447,469,4
35080,894,262,4
35081,343,4,5
35082,509,892,1
35083,871,269,3
35084,943,401,1
35085,827,347,3
35086,276,195,5
35087,495,441,3
35088,889,646,3
35089,746,281,3
35090,526,408,5
35091,693,318,4
35092,345,416,4
35093,643,249,3
35094,128,458,4
35095,241,343,2
35096,879,121,4
35097,774,778,5
35098,642,151,3
35099,778,28,4
35100,851,820,3
35101,487,4,4
35102,379,193,4
35103,750,304,4
35104,787,294,3
35105,660,24,3
35106,130,1279,4
35107,671,576,5
35108,699,1010,3
35109,593,11,4
35110,902,181,3
35111,853,301,1
35112,851,687,2
35113,835,210,5
35114,756,235,3
35115,577,365,5
35116,798,225,4
35117,436,47,4
35118,175,273,2
35119,848,1126,5
35120,664,458,3
35121,189,433,5
35122,524,684,4
35123,673,12,4
35124,583,513,5
35125,727,684,4
35126,622,89,5
35127,663,1,4
35128,18,187,5
35129,401,321,2
35130,592,92,5
35131,479,24,3
35132,887,143,5
35133,617,447,4
35134,691,672,1
35135,527,462,3
35136,472,234,4
35137,345,28,3
35138,806,179,5
35139,405,1274,1
35140,354,210,3
35141,852,597,3
35142,504,699,4
35143,854,175,4
35144,363,384,1
35145,437,1161,4
35146,109,156,5
35147,269,775,1
35148,922,699,3
35149,95,89,3
35150,577,202,4
35151,833,96,5
35152,118,234,5
35153,501,274,3
35154,653,693,1
35155,880,794,4
35156,713,1434,3
35157,655,475,3
35158,344,83,4
35159,625,198,4
35160,860,690,4
35161,733,1171,3
35162,293,38,1
35163,611,269,4
35164,62,509,4
35165,943,92,5
35166,710,313,4
35167,682,58,3
35168,463,10,1
35169,198,237,2
35170,738,152,4
35171,553,498,4
35172,537,789,2
35173,899,154,5
35174,592,408,5
35175,539,163,4
35176,541,625,4
35177,930,165,5
35178,140,302,4
35179,253,659,5
35180,472,294,4
35181,880,99,3
35182,503,427,5
35183,907,978,5
35184,442,450,3
35185,776,318,4
35186,151,430,4
35187,639,173,1
35188,121,1,4
35189,467,109,5
35190,795,1041,3
35191,912,174,3
35192,144,56,4
35193,326,208,3
35194,624,250,4
35195,222,769,2
35196,116,268,5
35197,533,528,4
35198,774,449,1
35199,456,121,2
35200,305,971,4
35201,141,293,2
35202,14,525,5
35203,201,10,3
35204,460,591,2
35205,58,645,5
35206,886,357,4
35207,44,432,5
35208,851,64,5
35209,726,1038,2
35210,323,763,4
35211,514,176,4
35212,145,563,3
35213,916,863,3
35214,516,582,5
35215,719,121,1
35216,823,273,3
35217,463,319,1
35218,177,98,5
35219,50,1008,5
35220,110,576,2
35221,94,1221,3
35222,276,274,3
35223,594,245,3
35224,580,288,5
35225,543,188,4
35226,301,193,3
35227,174,433,5
35228,883,4,4
35229,859,763,4
35230,896,367,4
35231,181,411,3
35232,474,663,4
35233,1,13,5
35234,109,1060,4
35235,650,404,3
35236,370,484,4
35237,747,235,5
35238,319,301,4
35239,107,1243,3
35240,416,1540,4
35241,508,378,5
35242,381,228,4
35243,577,655,4
35244,916,209,3
35245,572,124,5
35246,558,508,5
35247,501,1007,4
35248,941,258,4
35249,896,288,3
35250,512,302,4
35251,489,323,5
35252,535,1474,4
35253,717,475,5
35254,664,153,4
35255,537,141,3
35256,25,929,4
35257,474,608,4
35258,357,476,3
35259,214,319,3
35260,680,203,3
35261,569,284,4
35262,343,153,5
35263,57,496,4
35264,313,94,3
35265,663,180,4
35266,405,566,1
35267,707,106,3
35268,670,98,2
35269,216,655,5
35270,303,382,3
35271,472,569,4
35272,586,215,4
35273,83,233,4
35274,474,203,5
35275,38,1016,5
35276,655,181,3
35277,294,342,3
35278,497,90,4
35279,918,495,3
35280,280,384,4
35281,604,200,1
35282,932,447,3
35283,854,382,4
35284,287,1067,2
35285,893,476,3
35286,736,296,4
35287,623,183,3
35288,146,345,4
35289,605,300,2
35290,275,135,3
35291,704,1299,3
35292,889,31,3
35293,682,22,5
35294,812,678,4
35295,796,291,4
35296,851,824,4
35297,321,197,5
35298,618,597,4
35299,692,508,3
35300,434,476,4
35301,397,680,1
35302,551,11,5
35303,627,673,2
35304,595,1259,3
35305,521,204,4
35306,406,606,3
35307,62,44,3
35308,394,746,2
35309,288,121,2
35310,507,879,5
35311,659,90,2
35312,532,468,5
35313,327,56,2
35314,592,215,5
35315,313,538,2
35316,806,150,4
35317,133,271,5
35318,715,739,2
35319,781,403,4
35320,449,170,4
35321,472,117,3
35322,255,682,5
35323,716,168,5
35324,619,29,1
35325,421,4,3
35326,804,212,3
35327,776,109,4
35328,407,209,5
35329,174,708,5
35330,340,180,3
35331,899,435,3
35332,857,283,5
35333,416,652,4
35334,787,879,4
35335,771,274,4
35336,554,174,5
35337,312,589,5
35338,222,48,5
35339,95,194,5
35340,478,222,2
35341,314,1063,5
35342,796,231,3
35343,523,954,5
35344,746,168,3
35345,164,329,4
35346,627,797,4
35347,690,274,3
35348,210,763,2
35349,843,444,2
35350,523,1014,5
35351,823,55,4
35352,620,50,4
35353,452,588,3
35354,108,222,2
35355,537,610,4
35356,629,268,5
35357,477,15,4
35358,686,208,5
35359,711,50,4
35360,781,87,4
35361,13,429,5
35362,698,663,1
35363,843,482,2
35364,263,1,5
35365,684,934,3
35366,436,986,3
35367,751,399,3
35368,889,32,4
35369,762,286,4
35370,936,237,4
35371,504,294,2
35372,757,71,4
35373,785,301,4
35374,144,435,4
35375,682,1410,3
35376,747,290,3
35377,130,250,3
35378,439,100,3
35379,847,411,1
35380,102,230,2
35381,653,238,1
35382,305,64,5
35383,457,825,5
35384,14,920,4
35385,533,936,4
35386,201,183,4
35387,789,286,1
35388,7,433,5
35389,778,249,3
35390,429,479,4
35391,927,96,5
35392,768,535,3
35393,760,50,3
35394,514,7,5
35395,458,1039,5
35396,92,63,3
35397,267,153,5
35398,537,478,4
35399,385,89,4
35400,871,909,3
35401,851,349,3
35402,862,1009,4
35403,890,662,3
35404,267,157,5
35405,548,250,5
35406,608,69,4
35407,417,340,3
35408,864,63,3
35409,449,1005,5
35410,276,421,4
35411,702,1127,2
35412,707,923,5
35413,45,288,3
35414,179,1234,1
35415,587,1265,4
35416,663,603,4
35417,474,282,4
35418,347,24,3
35419,280,79,4
35420,196,110,1
35421,561,194,4
35422,392,657,5
35423,234,313,4
35424,416,415,4
35425,655,533,2
35426,141,926,4
35427,492,650,2
35428,932,639,5
35429,826,230,4
35430,683,307,3
35431,571,181,4
35432,849,207,5
35433,745,14,3
35434,833,940,2
35435,141,1283,3
35436,90,221,4
35437,346,67,3
35438,897,369,4
35439,606,1277,3
35440,664,100,5
35441,846,780,4
35442,897,404,4
35443,498,134,3
35444,560,405,4
35445,851,295,5
35446,908,525,4
35447,883,172,4
35448,855,198,4
35449,659,693,4
35450,788,141,3
35451,57,125,3
35452,313,235,3
35453,919,1073,4
35454,218,168,4
35455,880,1296,3
35456,536,205,5
35457,927,154,3
35458,405,1104,1
35459,577,829,3
35460,460,221,4
35461,286,22,4
35462,356,286,3
35463,506,367,3
35464,234,367,4
35465,689,475,4
35466,734,591,4
35467,56,50,5
35468,863,361,5
35469,630,620,4
35470,774,294,1
35471,374,174,5
35472,798,732,2
35473,642,790,4
35474,373,403,3
35475,307,227,5
35476,90,273,3
35477,58,1063,1
35478,627,554,2
35479,648,229,4
35480,385,961,4
35481,830,205,5
35482,83,584,4
35483,766,219,3
35484,468,952,3
35485,448,1176,2
35486,657,873,3
35487,325,523,3
35488,507,1016,5
35489,606,404,4
35490,751,597,2
35491,94,200,4
35492,645,216,4
35493,387,232,2
35494,795,231,4
35495,562,550,4
35496,868,738,2
35497,13,158,1
35498,707,371,3
35499,783,334,3
35500,142,322,2
35501,880,461,4
35502,843,211,2
35503,642,1178,3
35504,405,1556,1
35505,278,258,3
35506,843,1118,2
35507,815,89,4
35508,598,347,3
35509,577,318,5
35510,748,204,3
35511,236,504,3
35512,130,269,4
35513,222,191,2
35514,259,179,4
35515,883,367,5
35516,495,419,1
35517,409,322,2
35518,498,293,4
35519,916,66,3
35520,496,1091,1
35521,178,1,4
35522,642,940,2
35523,911,603,5
35524,805,228,3
35525,164,252,4
35526,58,603,5
35527,535,479,4
35528,97,183,5
35529,23,171,5
35530,865,455,4
35531,625,403,3
35532,466,260,4
35533,288,688,1
35534,733,322,2
35535,532,915,4
35536,825,833,4
35537,735,756,2
35538,141,866,5
35539,461,575,2
35540,387,676,1
35541,117,173,5
35542,525,118,3
35543,836,429,4
35544,177,200,4
35545,624,319,3
35546,608,660,5
35547,650,483,5
35548,790,122,2
35549,352,82,3
35550,869,253,4
35551,262,451,4
35552,533,651,4
35553,762,421,4
35554,232,744,3
35555,571,144,2
35556,919,1315,2
35557,828,70,3
35558,583,708,5
35559,907,272,5
35560,561,435,3
35561,870,135,3
35562,457,1028,3
35563,176,927,3
35564,871,547,3
35565,395,127,5
35566,141,591,4
35567,660,449,3
35568,254,168,1
35569,805,568,3
35570,551,1028,4
35571,21,9,5
35572,187,241,3
35573,935,125,4
35574,851,342,2
35575,618,55,2
35576,429,340,5
35577,326,613,5
35578,710,751,3
35579,465,194,4
35580,756,89,4
35581,115,83,3
35582,798,28,4
35583,883,479,5
35584,615,294,3
35585,660,184,3
35586,394,12,4
35587,916,559,3
35588,290,109,3
35589,94,959,5
35590,239,50,5
35591,738,662,4
35592,774,219,4
35593,43,367,4
35594,299,249,3
35595,756,88,1
35596,52,471,4
35597,234,478,3
35598,896,117,2
35599,181,245,2
35600,474,97,5
35601,748,250,5
35602,935,300,4
35603,24,176,5
35604,222,1079,1
35605,280,218,4
35606,778,121,3
35607,561,895,1
35608,181,6,1
35609,176,475,5
35610,447,157,4
35611,363,859,4
35612,552,934,3
35613,681,1394,5
35614,711,704,4
35615,437,428,5
35616,722,458,4
35617,579,111,4
35618,542,97,4
35619,104,13,3
35620,655,770,2
35621,551,237,4
35622,399,64,3
35623,807,71,5
35624,385,658,2
35625,869,282,3
35626,906,276,5
35627,265,100,5
35628,394,576,2
35629,921,395,3
35630,622,66,3
35631,659,180,5
35632,830,29,1
35633,327,482,4
35634,274,234,5
35635,655,594,3
35636,555,7,4
35637,589,300,5
35638,795,564,1
35639,603,62,2
35640,711,42,3
35641,456,1107,4
35642,505,1039,4
35643,624,546,3
35644,822,1091,1
35645,874,285,4
35646,181,681,1
35647,405,1253,1
35648,407,315,4
35649,725,300,4
35650,174,546,3
35651,880,1036,2
35652,393,409,4
35653,303,250,4
35654,621,395,4
35655,469,238,4
35656,363,423,3
35657,474,198,3
35658,492,193,4
35659,455,463,4
35660,943,230,1
35661,577,237,4
35662,918,1265,1
35663,561,144,3
35664,796,9,3
35665,727,1303,2
35666,503,451,4
35667,450,717,4
35668,127,343,5
35669,907,245,4
35670,436,392,4
35671,399,1540,3
35672,293,1,2
35673,385,1118,3
35674,703,458,3
35675,798,281,4
35676,249,317,5
35677,495,452,2
35678,468,25,5
35679,415,754,4
35680,454,28,4
35681,899,161,4
35682,57,710,3
35683,666,604,3
35684,297,215,2
35685,665,845,4
35686,924,276,2
35687,502,264,3
35688,87,1178,3
35689,435,321,3
35690,329,198,4
35691,181,1389,1
35692,901,430,3
35693,753,347,2
35694,762,116,1
35695,211,230,3
35696,551,232,5
35697,748,71,3
35698,70,95,4
35699,805,151,5
35700,109,763,2
35701,771,8,5
35702,455,531,3
35703,847,317,3
35704,116,297,3
35705,536,191,4
35706,409,207,3
35707,102,332,3
35708,690,98,5
35709,935,9,1
35710,766,679,3
35711,622,249,5
35712,35,261,3
35713,328,281,4
35714,715,743,2
35715,588,623,3
35716,572,100,3
35717,918,88,2
35718,187,462,5
35719,406,172,5
35720,634,285,4
35721,747,22,3
35722,660,926,2
35723,514,173,5
35724,99,313,5
35725,92,449,3
35726,348,123,5
35727,221,227,3
35728,297,659,4
35729,682,573,4
35730,615,23,5
35731,293,941,2
35732,267,455,3
35733,833,289,1
35734,821,71,5
35735,456,12,3
35736,627,521,2
35737,22,367,1
35738,336,546,3
35739,686,198,5
35740,451,243,4
35741,552,294,4
35742,1,32,5
35743,898,302,4
35744,183,216,4
35745,497,625,3
35746,423,329,3
35747,704,481,5
35748,79,283,4
35749,561,40,2
35750,524,180,4
35751,854,919,4
35752,600,562,3
35753,12,480,4
35754,766,99,3
35755,125,105,3
35756,533,194,4
35757,201,425,3
35758,894,936,4
35759,632,131,4
35760,888,237,5
35761,337,25,3
35762,634,977,3
35763,360,326,3
35764,286,82,3
35765,489,358,5
35766,567,487,4
35767,537,259,1
35768,256,1,5
35769,537,176,2
35770,385,419,2
35771,168,845,4
35772,560,127,5
35773,592,118,3
35774,615,475,4
35775,138,45,5
35776,394,179,5
35777,161,132,1
35778,698,485,4
35779,57,475,2
35780,721,1442,4
35781,885,1061,2
35782,276,179,5
35783,684,208,3
35784,894,1048,4
35785,405,529,1
35786,246,993,3
35787,880,228,3
35788,391,546,3
35789,693,174,4
35790,345,464,3
35791,468,692,4
35792,181,122,2
35793,474,244,4
35794,437,480,4
35795,497,189,4
35796,460,7,3
35797,504,1135,4
35798,913,481,3
35799,865,456,1
35800,845,311,4
35801,363,566,3
35802,738,28,4
35803,455,252,3
35804,42,419,5
35805,886,544,4
35806,579,216,5
35807,7,611,3
35808,835,354,3
35809,481,524,5
35810,660,810,3
35811,180,53,5
35812,527,496,4
35813,627,729,1
35814,733,1375,3
35815,717,890,1
35816,76,70,4
35817,774,399,2
35818,332,472,3
35819,830,427,5
35820,482,301,4
35821,445,151,4
35822,265,273,5
35823,544,302,5
35824,584,258,4
35825,477,546,4
35826,198,433,2
35827,922,579,3
35828,532,305,3
35829,327,87,3
35830,809,748,3
35831,424,690,3
35832,848,134,5
35833,276,759,1
35834,545,219,2
35835,907,988,3
35836,343,1117,3
35837,550,181,5
35838,398,134,3
35839,716,133,5
35840,668,333,3
35841,38,409,5
35842,674,929,3
35843,575,322,3
35844,354,66,2
35845,407,204,3
35846,446,690,2
35847,532,421,5
35848,416,865,3
35849,400,294,3
35850,771,313,3
35851,826,820,3
35852,847,578,3
35853,659,79,4
35854,667,504,3
35855,425,1013,1
35856,878,321,2
35857,620,246,4
35858,474,411,2
35859,782,987,3
35860,434,125,5
35861,307,505,3
35862,805,90,2
35863,164,342,2
35864,703,275,4
35865,293,182,5
35866,60,135,5
35867,655,113,3
35868,788,68,3
35869,758,1012,4
35870,863,882,4
35871,853,334,3
35872,727,131,2
35873,468,172,4
35874,71,257,5
35875,643,128,3
35876,537,901,1
35877,666,291,3
35878,758,69,5
35879,101,846,3
35880,373,233,3
35881,193,403,3
35882,781,50,5
35883,788,550,3
35884,705,241,4
35885,804,405,4
35886,551,384,1
35887,456,763,4
35888,255,245,1
35889,112,333,4
35890,573,176,3
35891,733,1085,4
35892,405,302,4
35893,151,286,5
35894,833,641,4
35895,711,257,3
35896,269,1411,3
35897,709,2,4
35898,144,72,4
35899,453,210,4
35900,554,527,4
35901,648,225,1
35902,655,954,2
35903,499,300,4
35904,393,1407,3
35905,727,748,4
35906,448,1022,5
35907,12,215,4
35908,305,91,2
35909,782,535,3
35910,450,1028,4
35911,401,121,3
35912,736,257,3
35913,548,1405,3
35914,865,99,1
35915,851,48,4
35916,592,148,2
35917,429,506,4
35918,323,651,5
35919,196,411,4
35920,452,45,4
35921,823,218,4
35922,912,357,5
35923,293,1135,3
35924,883,323,5
35925,846,373,3
35926,295,465,4
35927,880,293,4
35928,334,9,4
35929,758,289,2
35930,871,226,5
35931,486,324,4
35932,5,375,3
35933,73,289,2
35934,419,269,4
35935,774,385,1
35936,405,226,2
35937,262,181,3
35938,391,648,5
35939,774,986,1
35940,345,737,3
35941,271,649,3
35942,642,783,4
35943,458,896,5
35944,755,938,3
35945,100,349,3
35946,137,685,5
35947,311,796,3
35948,379,398,1
35949,766,238,4
35950,487,1019,5
35951,533,87,4
35952,826,195,5
35953,58,169,4
35954,655,772,3
35955,455,380,3
35956,854,522,2
35957,655,461,2
35958,806,234,4
35959,592,334,3
35960,586,1047,3
35961,731,194,3
35962,90,198,5
35963,452,481,5
35964,536,713,4
35965,472,50,5
35966,619,576,4
35967,385,568,3
35968,711,433,4
35969,650,100,4
35970,387,228,5
35971,447,174,5
35972,394,294,4
35973,214,175,5
35974,622,280,3
35975,327,644,3
35976,716,237,5
35977,493,156,1
35978,534,978,4
35979,80,79,4
35980,892,135,5
35981,707,506,2
35982,488,292,3
35983,234,712,2
35984,864,1531,3
35985,271,77,4
35986,679,64,4
35987,919,689,2
35988,497,42,4
35989,648,21,3
35990,227,129,5
35991,788,270,2
35992,213,478,5
35993,506,328,4
35994,268,1073,4
35995,406,357,4
35996,936,358,4
35997,593,272,5
35998,868,432,2
35999,540,825,4
